Metadata_Source,Metadata_Plate,Metadata_Well,Metadata_JCP2022,Metadata_PlateType,Metadata_MoA
source_1,UL000087,U02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,U04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,U45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,U47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,V02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,V04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,V45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,V47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,W02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,W04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,W45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,W47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,X02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,X04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,X45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,X47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,Y02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,Y04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,Y45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,Y47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,Z02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,Z04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,Z45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000087,Z47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,A02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,A04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,A11,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,A17,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,A45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,A47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AA02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AA04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AA27,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AA45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AA47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AB02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AB04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AB45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AB47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AC02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AC04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AC21,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AC45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AC47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AD02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AD04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AD23,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AD43,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AD45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AD47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AE02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AE04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AE10,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AE45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AE47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AF02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AF04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AF45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,AF47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,B02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,B04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,B27,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,B45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,B47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,C02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,C04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,C45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,C47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,D02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,D04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,D45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,D47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,E02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,E04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,E45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,E47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,F02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,F04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,F36,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,F45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,F47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,G02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,G04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,G45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,G47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,H02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,H04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,H45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,H47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,I02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,I04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,I45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,I47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,J02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,J04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,J23,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,J45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,J47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,K02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,K04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,K45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,K47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,L02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,L04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,L05,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,L45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,L47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,M02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,M04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,M45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,M47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,N02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,N04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,N45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,N47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,O02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,O04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,O45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,O47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,P02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,P04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,P28,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,P45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,P47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,Q02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,Q04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,Q45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,Q47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,R02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,R04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,R27,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,R45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,R47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,S02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,S04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,S23,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,S45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,S47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,T02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,T04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,T44,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,T45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,T47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,U02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,U04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,U13,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,U45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,U47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,V02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,V04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,V27,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,V45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,V47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,W02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,W04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,W35,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,W45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,W47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,X02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,X04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,X12,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,X45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,X47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,Y02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,Y04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,Y08,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,Y45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,Y47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,Z02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,Z04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,Z27,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,Z45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000577,Z47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,A02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,A04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,A45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,A47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AA02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AA04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AA43,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AA45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AA47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AB02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AB04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AB22,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AB45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AB47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AC02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AC04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AC12,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AC45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AC47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AD02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AD04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AD45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AD47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AE02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AE04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AE08,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AE45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AE47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AF02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AF04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AF45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,AF47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,B02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,B04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,B17,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,B26,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,B37,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,B45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,B47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,C02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,C04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,C43,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,C45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,C47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,D02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,D04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,D18,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,D30,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,D45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,D47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,E02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,E04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,E28,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,E45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,E47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,F02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,F04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,F22,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,F41,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,F45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,F47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,G02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,G04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,G35,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,G45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,G47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,H02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,H04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,H18,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,H24,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,H45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,H47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,I02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,I04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,I10,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,I25,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,I26,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,I45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,I47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,J02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,J04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,J05,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,J13,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,J45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,J47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,K02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,K04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,K08,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,K23,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,K45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,K47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,L02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,L04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,L14,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,L30,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,L45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,L47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,M02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,M04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,M45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,M47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,N02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,N04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,N45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,N47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,O02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,O04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,O45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,O47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,P02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,P04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,P45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,P47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,Q02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,Q04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,Q45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,Q47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,R02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,R04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,R45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,R47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,S02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,S04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,S07,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,S10,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,S43,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,S45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,S47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,T02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,T04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,T30,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,T45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,T47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,U02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,U04,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,U18,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,U45,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,U47,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,V02,JCP2022_033924,COMPOUND,negative_control
source_1,UL000579,V04,JCP2022_033924,COMPOUND,negative_control
