,Metadata_Source,Metadata_Plate,Metadata_Well,Metadata_JCP2022,Metadata_PlateType,Metadata_MoA
94,source_1,UL000597,F17,JCP2022_038571,COMPOUND,histamine receptor antagonist
95,source_1,UL000597,K16,JCP2022_113210,COMPOUND,dopamine receptor antagonist
96,source_1,UL000597,M26,JCP2022_008959,COMPOUND,dopamine receptor antagonist
97,source_1,UL000597,V28,JCP2022_105077,COMPOUND,cyclooxygenase inhibitor
98,source_1,UL000597,Y39,JCP2022_009839,COMPOUND,local anesthetic
99,source_1,UL000599,G14,JCP2022_104007,COMPOUND,dopamine receptor antagonist|serotonin receptor antagonist
100,source_1,UL000599,S23,JCP2022_104780,COMPOUND,local anesthetic
101,source_1,UL000599,U44,JCP2022_043099,COMPOUND,cyclooxygenase inhibitor
102,source_1,UL000599,Y06,JCP2022_021817,COMPOUND,diuretic
103,source_1,UL000599,Y11,JCP2022_108218,COMPOUND,myorelaxant
104,source_1,UL000599,Y14,JCP2022_025933,COMPOUND,carbonic anhydrase inhibitor
105,source_1,UL001641,C34,JCP2022_016871,COMPOUND,pyruvate dehydrogenase kinase inhibitor
106,source_1,UL001647,AE30,JCP2022_029304,COMPOUND,immunostimulant
107,source_1,UL001649,T10,JCP2022_001111,COMPOUND,dopamine receptor agonist
108,source_1,UL001649,V10,JCP2022_066834,COMPOUND,bradycardic effect 
109,source_1,UL001651,AB13,JCP2022_077482,COMPOUND,adrenergic receptor antagonist
110,source_1,UL001655,I19,JCP2022_105060,COMPOUND,bacterial antifolate
111,source_1,UL001671,A30,JCP2022_012896,COMPOUND,angiotensin receptor antagonist
112,source_1,UL001671,AC32,JCP2022_055885,COMPOUND,cytochrome P450 inhibitor
113,source_1,UL001673,A37,JCP2022_040627,COMPOUND,calmodulin antagonist
114,source_1,UL001673,S33,JCP2022_107672,COMPOUND,serotonin receptor antagonist
115,source_1,UL001675,Y37,JCP2022_007853,COMPOUND,serotonin receptor agonist
116,source_1,UL001713,AB31,JCP2022_042608,COMPOUND,adrenergic neuron blocker
117,source_1,UL001713,AE39,JCP2022_063629,COMPOUND,bacterial DNA gyrase inhibitor
118,source_1,UL001713,C35,JCP2022_102548,COMPOUND,bacterial DNA gyrase inhibitor
119,source_1,UL001713,D23,JCP2022_039646,COMPOUND,acetylcholine receptor antagonist
120,source_1,UL001713,E44,JCP2022_070285,COMPOUND,antiprotozoal agent
121,source_1,UL001713,G31,JCP2022_033179,COMPOUND,serotonin receptor antagonist
122,source_1,UL001713,G43,JCP2022_080167,COMPOUND,muscle relaxant
123,source_1,UL001713,H36,JCP2022_042239,COMPOUND,adrenergic receptor agonist|serotonin receptor agonist
124,source_1,UL001713,I08,JCP2022_064148,COMPOUND,mucolytic agent
125,source_1,UL001713,I44,JCP2022_008514,COMPOUND,dopamine receptor antagonist
126,source_1,UL001713,K39,JCP2022_006043,COMPOUND,psychoactive drug
127,source_1,UL001713,M14,JCP2022_032690,COMPOUND,psychoactive drug
128,source_1,UL001713,O07,JCP2022_022841,COMPOUND,local anesthetic
129,source_1,UL001713,P23,JCP2022_025946,COMPOUND,adrenergic receptor agonist
130,source_1,UL001713,Q40,JCP2022_050861,COMPOUND,chloride channel blocker
131,source_1,UL001713,S07,JCP2022_021425,COMPOUND,carbonic anhydrase inhibitor
132,source_1,UL001713,T31,JCP2022_094855,COMPOUND,bacterial antifolate
133,source_1,UL001713,T32,JCP2022_007196,COMPOUND,cyclooxygenase inhibitor
134,source_1,UL001713,U37,JCP2022_077448,COMPOUND,bacterial DNA gyrase inhibitor
135,source_1,UL001713,W07,JCP2022_077096,COMPOUND,tubulin polymerization inhibitor
136,source_1,UL001713,W35,JCP2022_020054,COMPOUND,dopamine receptor antagonist
137,source_1,UL001713,X23,JCP2022_063565,COMPOUND,acetylcholine receptor agonist
138,source_1,UL001713,Z38,JCP2022_024874,COMPOUND,PABA antagonist
139,source_1,UL001717,AC09,JCP2022_084264,COMPOUND,histamine receptor antagonist
140,source_1,UL001717,AE44,JCP2022_032702,COMPOUND,prostanoid receptor antagonist
141,source_1,UL001717,B41,JCP2022_091909,COMPOUND,sodium channel blocker
142,source_1,UL001717,E16,JCP2022_031858,COMPOUND,local anesthetic
143,source_1,UL001717,F05,JCP2022_095424,COMPOUND,fungal squalene epoxidase inhibitor
144,source_1,UL001717,F13,JCP2022_040599,COMPOUND,ATP channel blocker
145,source_1,UL001717,F21,JCP2022_097466,COMPOUND,HDAC inhibitor
146,source_1,UL001717,H14,JCP2022_077927,COMPOUND,phosphodiesterase inhibitor
147,source_1,UL001717,H26,JCP2022_027497,COMPOUND,PDGFR tyrosine kinase receptor inhibitor
148,source_1,UL001717,K07,JCP2022_033540,COMPOUND,cyclooxygenase inhibitor
149,source_1,UL001717,L18,JCP2022_083818,COMPOUND,PABA antagonist
150,source_1,UL001717,N29,JCP2022_105904,COMPOUND,dopamine receptor antagonist
151,source_1,UL001717,O08,JCP2022_065007,COMPOUND,cyclooxygenase inhibitor
152,source_1,UL001717,P14,JCP2022_099906,COMPOUND,renal function diagnostic agent
153,source_1,UL001717,R09,JCP2022_035200,COMPOUND,PPAR receptor agonist
154,source_1,UL001717,T14,JCP2022_092627,COMPOUND,bacterial antifolate
155,source_1,UL001717,X22,JCP2022_114793,COMPOUND,muscle relaxant
156,source_1,UL001717,Z17,JCP2022_116680,COMPOUND,dihydropteroate synthetase inhibitor
157,source_1,UL001719,AB17,JCP2022_104184,COMPOUND,monoamine oxidase inhibitor
158,source_1,UL001719,AB21,JCP2022_012064,COMPOUND,local anesthetic
159,source_1,UL001719,AE36,JCP2022_022333,COMPOUND,antihistamine
160,source_1,UL001719,G36,JCP2022_047766,COMPOUND,bacterial DNA gyrase inhibitor
161,source_1,UL001719,I08,JCP2022_016807,COMPOUND,sodium/potassium/chloride transporter inhibitor
162,source_1,UL001719,O36,JCP2022_041079,COMPOUND,topoisomerase inhibitor
163,source_1,UL001719,P17,JCP2022_054801,COMPOUND,androgen receptor antagonist
164,source_1,UL001719,P21,JCP2022_048737,COMPOUND,serotonin reuptake inhibitor
165,source_1,UL001719,Q31,JCP2022_079413,COMPOUND,cyclooxygenase inhibitor|platelet aggregation inhibitor|thromboxane synthase inhibitor
166,source_1,UL001773,AB44,JCP2022_020269,COMPOUND,carboxamide antiepileptic
167,source_1,UL001773,AC05,JCP2022_067440,COMPOUND,bacterial antifolate
168,source_1,UL001773,B21,JCP2022_023247,COMPOUND,bronchodilator
169,source_1,UL001773,F21,JCP2022_037586,COMPOUND,sodium channel blocker
170,source_1,UL001773,F37,JCP2022_078327,COMPOUND,cyclooxygenase inhibitor
171,source_1,UL001773,G41,JCP2022_062174,COMPOUND,monoamine oxidase inhibitor
172,source_1,UL001773,J21,JCP2022_021039,COMPOUND,cytochrome P450 inhibitor
173,source_1,UL001773,O05,JCP2022_095903,COMPOUND,adrenergic receptor antagonist
174,source_1,UL001773,O27,JCP2022_034199,COMPOUND,adrenergic receptor antagonist
175,source_1,UL001773,R21,JCP2022_041776,COMPOUND,adrenergic receptor agonist
176,source_1,UL001773,S23,JCP2022_015321,COMPOUND,antioxidant
177,source_1,UL001773,S27,JCP2022_022756,COMPOUND,glutamate inhibitor
178,source_1,UL001773,W05,JCP2022_053734,COMPOUND,HMGCR inhibitor
179,source_1,UL001773,W15,JCP2022_029272,COMPOUND,histamine receptor antagonist
180,source_1,UL001773,W19,JCP2022_079330,COMPOUND,analgesic agent
181,source_1,UL001773,Y05,JCP2022_018778,COMPOUND,lipase inhibitor
182,source_1,UL001773,Y37,JCP2022_032611,COMPOUND,adrenergic receptor agonist
183,source_10,Dest210531-152149,G12,JCP2022_104007,COMPOUND,dopamine receptor antagonist|serotonin receptor antagonist
184,source_10,Dest210531-152459,I04,JCP2022_021817,COMPOUND,diuretic
185,source_10,Dest210531-152459,I12,JCP2022_025933,COMPOUND,carbonic anhydrase inhibitor
186,source_10,Dest210531-152634,A03,JCP2022_110440,COMPOUND,tubulin polymerization inhibitor
187,source_10,Dest210531-152634,E22,JCP2022_043099,COMPOUND,cyclooxygenase inhibitor
188,source_10,Dest210531-152810,D18,JCP2022_003677,COMPOUND,phosphodiesterase inhibitor
189,source_10,Dest210531-152810,E15,JCP2022_038571,COMPOUND,histamine receptor antagonist
190,source_10,Dest210531-152810,F16,JCP2022_093901,COMPOUND,ATP channel blocker
191,source_10,Dest210531-152810,F20,JCP2022_093328,COMPOUND,topoisomerase inhibitor
192,source_10,Dest210531-152810,N13,JCP2022_058565,COMPOUND,vitamin K antagonist
193,source_10,Dest210531-152810,N15,JCP2022_097171,COMPOUND,melanin inhibitor
194,source_10,Dest210531-152810,N19,JCP2022_059332,COMPOUND,bacterial DNA gyrase inhibitor
195,source_10,Dest210531-152945,A08,JCP2022_106594,COMPOUND,androgen receptor antagonist
196,source_10,Dest210531-152945,A12,JCP2022_008301,COMPOUND,analgesic agent
197,source_10,Dest210531-152945,A16,JCP2022_062893,COMPOUND,antiprotozoal agent
198,source_10,Dest210531-152945,B09,JCP2022_012266,COMPOUND,adrenergic receptor agonist
199,source_10,Dest210531-152945,C11,JCP2022_027004,COMPOUND,dihydrofolate reductase inhibitor
200,source_10,Dest210531-152945,F03,JCP2022_073093,COMPOUND,DNA synthesis inhibitor
201,source_10,Dest210531-152945,F12,JCP2022_069049,COMPOUND,dihydropteroate synthase inhibitor
202,source_10,Dest210531-152945,G08,JCP2022_070967,COMPOUND,sodium channel blocker
203,source_10,Dest210531-152945,H19,JCP2022_039932,COMPOUND,cyclooxygenase inhibitor
204,source_10,Dest210531-152945,H20,JCP2022_070623,COMPOUND,monoamine oxidase inhibitor
205,source_10,Dest210531-152945,J03,JCP2022_017478,COMPOUND,monoamine oxidase inhibitor
206,source_10,Dest210531-152945,J08,JCP2022_077738,COMPOUND,phosphofructokinase inhibitor
207,source_10,Dest210531-152945,L07,JCP2022_055273,COMPOUND,cyclooxygenase inhibitor
208,source_10,Dest210531-152945,M16,JCP2022_043713,COMPOUND,sodium channel blocker
209,source_10,Dest210531-153120,A11,JCP2022_042107,COMPOUND,dopamine receptor antagonist
210,source_10,Dest210531-153120,A14,JCP2022_088857,COMPOUND,histamine receptor antagonist
211,source_10,Dest210531-153120,B08,JCP2022_107322,COMPOUND,carbonic anhydrase inhibitor
212,source_10,Dest210531-153120,B13,JCP2022_116723,COMPOUND,histamine receptor antagonist
213,source_10,Dest210531-153120,D10,JCP2022_013346,COMPOUND,sodium channel blocker
214,source_10,Dest210531-153120,E15,JCP2022_105686,COMPOUND,dopamine receptor antagonist
215,source_10,Dest210531-153120,F04,JCP2022_102844,COMPOUND,dopamine receptor antagonist
216,source_10,Dest210531-153120,I18,JCP2022_114755,COMPOUND,cyclooxygenase inhibitor
217,source_10,Dest210531-153120,J20,JCP2022_055262,COMPOUND,prostanoid receptor antagonist
218,source_10,Dest210531-153120,M18,JCP2022_099101,COMPOUND,angiogenesis inhibitor
219,source_10,Dest210531-153120,N11,JCP2022_047835,COMPOUND,tubulin polymerization inhibitor
220,source_10,Dest210531-153120,N15,JCP2022_018834,COMPOUND,adrenergic receptor agonist
221,source_10,Dest210531-153120,N17,JCP2022_099082,COMPOUND,adrenergic receptor agonist
222,source_10,Dest210531-153120,N20,JCP2022_006006,COMPOUND,estrogenic hormone
223,source_10,Dest210531-153120,P17,JCP2022_032522,COMPOUND,angiotensin receptor antagonist
224,source_10,Dest210531-153804,C08,JCP2022_030599,COMPOUND,antiprotozoal agent
225,source_10,Dest210531-153804,G10,JCP2022_108027,COMPOUND,cyclooxygenase inhibitor|prostanoid receptor antagonist
226,source_10,Dest210531-153804,O05,JCP2022_053711,COMPOUND,topical sunscreen agent
227,source_10,Dest210531-153804,O12,JCP2022_089383,COMPOUND,calcium channel blocker
228,source_10,Dest210601-154127,M11,JCP2022_079413,COMPOUND,cyclooxygenase inhibitor|platelet aggregation inhibitor|thromboxane synthase inhibitor
229,source_10,Dest210601-155410,E05,JCP2022_105077,COMPOUND,cyclooxygenase inhibitor
230,source_10,Dest210607-134443,E16,JCP2022_078327,COMPOUND,cyclooxygenase inhibitor
231,source_10,Dest210607-134443,H20,JCP2022_062174,COMPOUND,monoamine oxidase inhibitor
232,source_10,Dest210607-134443,P06,JCP2022_034199,COMPOUND,adrenergic receptor antagonist
233,source_10,Dest210607-134618,A20,JCP2022_041776,COMPOUND,adrenergic receptor agonist
234,source_10,Dest210607-134618,D22,JCP2022_015321,COMPOUND,antioxidant
235,source_10,Dest210607-134618,H04,JCP2022_053734,COMPOUND,HMGCR inhibitor
236,source_10,Dest210607-134618,H14,JCP2022_029272,COMPOUND,histamine receptor antagonist
237,source_10,Dest210607-134618,H18,JCP2022_079330,COMPOUND,analgesic agent
238,source_10,Dest210607-134618,J04,JCP2022_018778,COMPOUND,lipase inhibitor
239,source_10,Dest210607-134618,N04,JCP2022_067440,COMPOUND,bacterial antifolate
240,source_10,Dest210607-134930,A05,JCP2022_011917,COMPOUND,cyclooxygenase inhibitor
241,source_10,Dest210607-135241,M05,JCP2022_109671,COMPOUND,sigma receptor agonist
242,source_10,Dest210607-135749,N03,JCP2022_008959,COMPOUND,dopamine receptor antagonist
243,source_10,Dest210607-140241,F14,JCP2022_031858,COMPOUND,local anesthetic
244,source_10,Dest210607-140241,J09,JCP2022_060393,COMPOUND,dopamine receptor antagonist
245,source_10,Dest210607-140241,M22,JCP2022_057163,COMPOUND,cyclooxygenase inhibitor
246,source_10,Dest210607-140241,N15,JCP2022_052832,COMPOUND,local anesthetic
247,source_10,Dest210607-140241,O04,JCP2022_033532,COMPOUND,cyclooxygenase inhibitor
248,source_10,Dest210607-140241,P06,JCP2022_065007,COMPOUND,cyclooxygenase inhibitor
249,source_10,Dest210607-140420,E10,JCP2022_055852,COMPOUND,bacterial antifolate
250,source_10,Dest210607-140420,J03,JCP2022_102565,COMPOUND,topoisomerase inhibitor
251,source_10,Dest210607-140420,P17,JCP2022_068699,COMPOUND,purinergic receptor antagonist
252,source_10,Dest210607-140601,G16,JCP2022_022963,COMPOUND,sodium channel blocker
253,source_10,Dest210608-150932,J05,JCP2022_016807,COMPOUND,sodium/potassium/chloride transporter inhibitor
254,source_10,Dest210608-150932,O16,JCP2022_054801,COMPOUND,androgen receptor antagonist
255,source_10,Dest210608-150932,O20,JCP2022_048737,COMPOUND,serotonin reuptake inhibitor
256,source_10,Dest210608-151108,H13,JCP2022_047766,COMPOUND,bacterial DNA gyrase inhibitor
257,source_10,Dest210608-151108,P13,JCP2022_041079,COMPOUND,topoisomerase inhibitor
258,source_10,Dest210608-151243,K16,JCP2022_104184,COMPOUND,monoamine oxidase inhibitor
259,source_10,Dest210608-151243,K20,JCP2022_012064,COMPOUND,local anesthetic
260,source_10,Dest210608-151418,P13,JCP2022_022333,COMPOUND,antihistamine
261,source_10,Dest210608-151729,A10,JCP2022_112427,COMPOUND,RNA polymerase inhibitor
262,source_10,Dest210608-151729,J07,JCP2022_101394,COMPOUND,histamine receptor antagonist|platelet activating factor receptor antagonist
263,source_10,Dest210608-151729,M20,JCP2022_070116,COMPOUND,vasopressin receptor antagonist
264,source_10,Dest210608-151729,N05,JCP2022_097595,COMPOUND,tachykinin antagonist
265,source_10,Dest210608-152434,G21,JCP2022_075724,COMPOUND,cyclooxygenase inhibitor
266,source_10,Dest210608-152434,H06,JCP2022_100092,COMPOUND,prostaglandin inhibitor
267,source_10,Dest210608-152434,H11,JCP2022_077448,COMPOUND,bacterial DNA gyrase inhibitor
268,source_10,Dest210608-152610,G10,JCP2022_007419,COMPOUND,hemoglobin oxygen release stimulant
269,source_10,Dest210608-152610,H18,JCP2022_107394,COMPOUND,sigma receptor antagonist
270,source_10,Dest210608-152610,N18,JCP2022_034098,COMPOUND,bacterial DNA inhibitor
271,source_10,Dest210608-152745,B12,JCP2022_058852,COMPOUND,rho associated kinase inhibitor
272,source_10,Dest210608-152745,C03,JCP2022_013874,COMPOUND,cyclooxygenase inhibitor
273,source_10,Dest210608-152745,H17,JCP2022_112243,COMPOUND,calcium channel blocker
274,source_10,Dest210608-152745,L06,JCP2022_109925,COMPOUND,protein synthesis stimulant
275,source_10,Dest210608-152745,M19,JCP2022_066287,COMPOUND,carbonic anhydrase inhibitor
276,source_10,Dest210608-152745,O14,JCP2022_039654,COMPOUND,platelet activating factor receptor antagonist
277,source_10,Dest210608-152921,L11,JCP2022_038571,COMPOUND,histamine receptor antagonist
278,source_10,Dest210608-152921,L15,JCP2022_016073,COMPOUND,P selectin inhibitor
279,source_10,Dest210608-153057,C09,JCP2022_116328,COMPOUND,benzodiazepine receptor agonist
280,source_10,Dest210608-153234,A06,JCP2022_036475,COMPOUND,lipid peroxidase inhibitor
281,source_10,Dest210608-153234,B10,JCP2022_045979,COMPOUND,EGFR inhibitor
282,source_10,Dest210608-153234,C13,JCP2022_029684,COMPOUND,lipoprotein lipase activator
283,source_10,Dest210608-153234,D10,JCP2022_082643,COMPOUND,monoacylglucerol lipase inhibitor
284,source_10,Dest210608-153234,F15,JCP2022_055273,COMPOUND,cyclooxygenase inhibitor
285,source_10,Dest210608-153411,A19,JCP2022_055210,COMPOUND,phosphodiesterase inhibitor
286,source_10,Dest210608-153411,N08,JCP2022_059894,COMPOUND,lymphocyte inhibitor
287,source_10,Dest210614-162933,I10,JCP2022_043713,COMPOUND,sodium channel blocker
288,source_10,Dest210614-162933,I19,JCP2022_027440,COMPOUND,GABA receptor modulator
289,source_10,Dest210614-162933,K08,JCP2022_013491,COMPOUND,DNA synthesis inhibitor
290,source_10,Dest210614-162933,L17,JCP2022_039673,COMPOUND,hypoxia inducible factor prolyl hydroxylase inhibitor
291,source_10,Dest210614-162933,O08,JCP2022_073145,COMPOUND,other antifungal
292,source_10,Dest210614-163109,C20,JCP2022_033532,COMPOUND,cyclooxygenase inhibitor
293,source_10,Dest210614-163109,F12,JCP2022_053429,COMPOUND,serotonin receptor agonist
294,source_10,Dest210614-163109,G12,JCP2022_029531,COMPOUND,dopamine receptor antagonist|serotonin receptor antagonist
295,source_10,Dest210614-163109,J09,JCP2022_008959,COMPOUND,dopamine receptor antagonist
296,source_10,Dest210614-163244,B09,JCP2022_007783,COMPOUND,bacterial DNA gyrase inhibitor
297,source_10,Dest210614-163244,K18,JCP2022_029574,COMPOUND,glutamate receptor positive allosteric modulator
298,source_10,Dest210614-163244,K20,JCP2022_113779,COMPOUND,leukotriene receptor antagonist|phosphodiesterase inhibitor
299,source_10,Dest210614-163244,L13,JCP2022_009550,COMPOUND,tubulin polymerization inhibitor
300,source_10,Dest210614-163244,M19,JCP2022_082130,COMPOUND,acetylcholinesterase inhibitor
301,source_10,Dest210614-163244,O15,JCP2022_060394,COMPOUND,mineralocorticoid receptor antagonist
302,source_10,Dest210614-163244,P03,JCP2022_077952,COMPOUND,TP53 inhibitor
303,source_10,Dest210614-163446,C09,JCP2022_085183,COMPOUND,corticotropin releasing factor receptor antagonist
304,source_10,Dest210614-163446,D10,JCP2022_000207,COMPOUND,acetylcholine receptor allosteric modulator
305,source_10,Dest210614-163446,F17,JCP2022_002010,COMPOUND,orexin receptor antagonist
306,source_10,Dest210614-163446,H11,JCP2022_045835,COMPOUND,prostanoid receptor antagonist
307,source_10,Dest210614-163446,K10,JCP2022_088849,COMPOUND,caspase inhibitor
308,source_10,Dest210614-163932,A15,JCP2022_066960,COMPOUND,lysophospholipid receptor agonist
309,source_10,Dest210614-163932,C04,JCP2022_090019,COMPOUND,cell cycle inhibitor
310,source_10,Dest210614-163932,C13,JCP2022_013503,COMPOUND,anticancer agent
311,source_10,Dest210614-163932,O10,JCP2022_036107,COMPOUND,FXR agonist
312,source_10,Dest210614-164243,B14,JCP2022_023729,COMPOUND,smoothened receptor agonist
